idx,sheet,file,category,size_band_dir,conf,edge_px,image_id
35,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\035_size24px_img7172.png,boat,16-32,,24,7172
36,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\036_size24px_img887.png,boat,16-32,,24,887
37,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\037_size23px_img7203.png,boat,16-32,,23,7203
38,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\038_size23px_img7177.png,boat,16-32,,23,7177
39,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\039_size22px_img7193.png,boat,16-32,,22,7193
40,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\040_size22px_img7197.png,boat,16-32,,22,7197
41,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\041_size22px_img7198.png,boat,16-32,,22,7198
42,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\042_size22px_img7178.png,boat,16-32,,22,7178
43,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\043_size22px_img7190.png,boat,16-32,,22,7190
44,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\044_size22px_img7199.png,boat,16-32,,22,7199
45,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\045_size22px_img7176.png,boat,16-32,,22,7176
46,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\046_size22px_img7179.png,boat,16-32,,22,7179
47,fn_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\047_size22px_img7184.png,boat,16-32,,22,7184
48,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\048_size22px_img7202.png,boat,16-32,,22,7202
49,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\049_size22px_img7174.png,boat,16-32,,22,7174
50,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\050_size21px_img7194.png,boat,16-32,,21,7194
51,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\051_size21px_img7196.png,boat,16-32,,21,7196
52,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\052_size21px_img7175.png,boat,16-32,,21,7175
53,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\053_size21px_img7173.png,boat,16-32,,21,7173
54,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\054_size21px_img7189.png,boat,16-32,,21,7189
55,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\055_size21px_img7185.png,boat,16-32,,21,7185
56,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\056_size21px_img7180.png,boat,16-32,,21,7180
57,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\057_size21px_img7182.png,boat,16-32,,21,7182
58,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\058_size21px_img7186.png,boat,16-32,,21,7186
59,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\16-32\059_size21px_img7200.png,boat,16-32,,21,7200
60,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\000_size58px_img7204.png,boat,32-64,,58,7204
61,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\001_size57px_img7205.png,boat,32-64,,57,7205
62,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\002_size48px_img7205.png,boat,32-64,,48,7205
63,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\003_size45px_img3484.png,boat,32-64,,45,3484
64,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\004_size44px_img7204.png,boat,32-64,,44,7204
65,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\005_size43px_img3485.png,boat,32-64,,43,3485
66,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\006_size43px_img501.png,boat,32-64,,43,501
67,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\007_size43px_img7204.png,boat,32-64,,43,7204
68,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\008_size42px_img3507.png,boat,32-64,,42,3507
69,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\009_size42px_img3486.png,boat,32-64,,42,3486
70,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\010_size41px_img3508.png,boat,32-64,,41,3508
71,fn_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\011_size41px_img3509.png,boat,32-64,,41,3509
72,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\012_size40px_img3487.png,boat,32-64,,40,3487
73,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\013_size40px_img7205.png,boat,32-64,,40,7205
74,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\014_size39px_img3510.png,boat,32-64,,39,3510
75,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\015_size39px_img3522.png,boat,32-64,,39,3522
76,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\016_size39px_img3488.png,boat,32-64,,39,3488
77,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\017_size39px_img3489.png,boat,32-64,,39,3489
78,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\018_size38px_img3493.png,boat,32-64,,38,3493
79,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\019_size38px_img3521.png,boat,32-64,,38,3521
80,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\020_size37px_img7173.png,boat,32-64,,37,7173
81,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\021_size37px_img3520.png,boat,32-64,,37,3520
82,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\022_size37px_img3490.png,boat,32-64,,37,3490
83,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\023_size37px_img3494.png,boat,32-64,,37,3494
84,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\024_size37px_img3511.png,boat,32-64,,37,3511
85,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\025_size37px_img3495.png,boat,32-64,,37,3495
86,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\026_size36px_img3513.png,boat,32-64,,36,3513
87,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\027_size36px_img3496.png,boat,32-64,,36,3496
88,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\028_size36px_img3514.png,boat,32-64,,36,3514
89,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\029_size36px_img3516.png,boat,32-64,,36,3516
90,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\030_size36px_img3519.png,boat,32-64,,36,3519
91,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\031_size36px_img3491.png,boat,32-64,,36,3491
92,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\032_size35px_img3492.png,boat,32-64,,35,3492
93,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\033_size35px_img3497.png,boat,32-64,,35,3497
94,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\034_size34px_img7203.png,boat,32-64,,34,7203
95,fn_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\035_size34px_img3498.png,boat,32-64,,34,3498
96,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\036_size34px_img3523.png,boat,32-64,,34,3523
97,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\037_size34px_img3514.png,boat,32-64,,34,3514
98,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\038_size34px_img3516.png,boat,32-64,,34,3516
99,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\039_size34px_img3520.png,boat,32-64,,34,3520
100,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\040_size34px_img7195.png,boat,32-64,,34,7195
101,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\041_size34px_img3499.png,boat,32-64,,34,3499
102,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\042_size34px_img3500.png,boat,32-64,,34,3500
103,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\043_size34px_img3509.png,boat,32-64,,34,3509
104,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\044_size33px_img7214.png,boat,32-64,,33,7214
105,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\045_size33px_img3501.png,boat,32-64,,33,3501
106,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\046_size33px_img3503.png,boat,32-64,,33,3503
107,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\047_size33px_img3504.png,boat,32-64,,33,3504
108,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\048_size33px_img3507.png,boat,32-64,,33,3507
109,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\049_size33px_img3502.png,boat,32-64,,33,3502
110,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\050_size33px_img3513.png,boat,32-64,,33,3513
111,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\051_size33px_img3515.png,boat,32-64,,33,3515
112,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\052_size33px_img3521.png,boat,32-64,,33,3521
113,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\053_size32px_img7174.png,boat,32-64,,32,7174
114,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\054_size32px_img3511.png,boat,32-64,,32,3511
115,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\055_size32px_img3522.png,boat,32-64,,32,3522
116,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\056_size32px_img7172.png,boat,32-64,,32,7172
117,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\057_size32px_img7173.png,boat,32-64,,32,7173
118,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\058_size32px_img7194.png,boat,32-64,,32,7194
119,fn_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fn\boat\32-64\059_size32px_img3506.png,boat,32-64,,32,3506
