idx,sheet,file,category,size_band_dir,conf,edge_px,image_id
24,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\gt64\001_conf0.84_size169px_img10808.png,boat,gt64,0.84,169,10808
25,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\gt64\002_conf0.76_size83px_img15976.png,boat,gt64,0.76,83,15976
26,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\gt64\003_conf0.73_size177px_img2497.png,boat,gt64,0.73,177,2497
27,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\gt64\004_conf0.71_size108px_img9237.png,boat,gt64,0.71,108,9237
28,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\gt64\005_conf0.70_size81px_img16203.png,boat,gt64,0.70,81,16203
29,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\gt64\006_conf0.69_size119px_img9841.png,boat,gt64,0.69,119,9841
30,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\gt64\007_conf0.51_size67px_img9840.png,boat,gt64,0.51,67,9840
31,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\gt64\008_conf0.48_size101px_img9238.png,boat,gt64,0.48,101,9238
32,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\gt64\009_conf0.38_size68px_img3505.png,boat,gt64,0.38,68,3505
33,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\boat\gt64\010_conf0.35_size434px_img15396.png,boat,gt64,0.35,434,15396
34,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\000_conf0.52_size24px_img6072.png,buoy,16-32,0.52,24,6072
35,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\001_conf0.50_size26px_img6072.png,buoy,16-32,0.50,26,6072
36,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\002_conf0.50_size17px_img7204.png,buoy,16-32,0.50,17,7204
37,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\003_conf0.44_size17px_img7178.png,buoy,16-32,0.44,17,7178
38,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\004_conf0.41_size20px_img7214.png,buoy,16-32,0.41,20,7214
39,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\005_conf0.41_size24px_img12594.png,buoy,16-32,0.41,24,12594
40,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\006_conf0.40_size20px_img7179.png,buoy,16-32,0.40,20,7179
41,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\007_conf0.36_size22px_img12592.png,buoy,16-32,0.36,22,12592
42,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\008_conf0.36_size22px_img7205.png,buoy,16-32,0.36,22,7205
43,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\009_conf0.35_size19px_img7210.png,buoy,16-32,0.35,19,7210
44,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\010_conf0.34_size21px_img7205.png,buoy,16-32,0.34,21,7205
45,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\011_conf0.32_size22px_img7189.png,buoy,16-32,0.32,22,7189
46,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\012_conf0.31_size20px_img7190.png,buoy,16-32,0.31,20,7190
47,fp_background_sheet01.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\013_conf0.31_size21px_img7196.png,buoy,16-32,0.31,21,7196
48,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\014_conf0.29_size19px_img7182.png,buoy,16-32,0.29,19,7182
49,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\015_conf0.29_size20px_img12595.png,buoy,16-32,0.29,20,12595
50,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\016_conf0.29_size25px_img7215.png,buoy,16-32,0.29,25,7215
51,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\017_conf0.28_size24px_img12594.png,buoy,16-32,0.28,24,12594
52,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\16-32\018_conf0.27_size19px_img7173.png,buoy,16-32,0.27,19,7173
53,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\32-64\000_conf0.82_size59px_img8116.png,buoy,32-64,0.82,59,8116
54,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\buoy\32-64\001_conf0.67_size59px_img6641.png,buoy,32-64,0.67,59,6641
55,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\16-32\000_conf0.37_size29px_img12024.png,jetski,16-32,0.37,29,12024
56,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\16-32\001_conf0.35_size31px_img12025.png,jetski,16-32,0.35,31,12025
57,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\16-32\002_conf0.29_size31px_img6078.png,jetski,16-32,0.29,31,6078
58,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\16-32\003_conf0.25_size31px_img6671.png,jetski,16-32,0.25,31,6671
59,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\32-64\000_conf0.69_size49px_img12020.png,jetski,32-64,0.69,49,12020
60,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\32-64\001_conf0.54_size40px_img3509.png,jetski,32-64,0.54,40,3509
61,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\32-64\002_conf0.45_size47px_img3506.png,jetski,32-64,0.45,47,3506
62,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\32-64\003_conf0.40_size34px_img12021.png,jetski,32-64,0.40,34,12021
63,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\32-64\004_conf0.33_size38px_img12026.png,jetski,32-64,0.33,38,12026
64,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\32-64\005_conf0.30_size40px_img3522.png,jetski,32-64,0.30,40,3522
65,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\32-64\006_conf0.30_size36px_img12021.png,jetski,32-64,0.30,36,12021
66,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\32-64\007_conf0.28_size36px_img7196.png,jetski,32-64,0.28,36,7196
67,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\32-64\008_conf0.28_size48px_img3503.png,jetski,32-64,0.28,48,3503
68,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\32-64\009_conf0.27_size36px_img3514.png,jetski,32-64,0.27,36,3514
69,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\32-64\010_conf0.26_size32px_img3515.png,jetski,32-64,0.26,32,3515
70,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\gt64\000_conf0.79_size425px_img16768.png,jetski,gt64,0.79,425,16768
71,fp_background_sheet02.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\gt64\001_conf0.71_size309px_img16763.png,jetski,gt64,0.71,309,16763
72,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\gt64\002_conf0.71_size80px_img8116.png,jetski,gt64,0.71,80,8116
73,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\gt64\003_conf0.69_size350px_img16770.png,jetski,gt64,0.69,350,16770
74,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\gt64\004_conf0.68_size401px_img16769.png,jetski,gt64,0.68,401,16769
75,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\gt64\005_conf0.54_size115px_img10465.png,jetski,gt64,0.54,115,10465
76,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\gt64\006_conf0.40_size403px_img16765.png,jetski,gt64,0.40,403,16765
77,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\gt64\007_conf0.39_size74px_img9247.png,jetski,gt64,0.39,74,9247
78,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\gt64\008_conf0.35_size253px_img16766.png,jetski,gt64,0.35,253,16766
79,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\gt64\009_conf0.35_size90px_img3500.png,jetski,gt64,0.35,90,3500
80,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\gt64\010_conf0.34_size244px_img16766.png,jetski,gt64,0.34,244,16766
81,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\gt64\011_conf0.30_size78px_img9246.png,jetski,gt64,0.30,78,9246
82,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\gt64\012_conf0.29_size101px_img9260.png,jetski,gt64,0.29,101,9260
83,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\jetski\gt64\013_conf0.28_size290px_img16765.png,jetski,gt64,0.28,290,16765
84,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\life_saving_appliances\16-32\000_conf0.66_size30px_img10419.png,life_saving_appliances,16-32,0.66,30,10419
85,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\life_saving_appliances\16-32\001_conf0.28_size27px_img10453.png,life_saving_appliances,16-32,0.28,27,10453
86,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\life_saving_appliances\32-64\000_conf0.72_size38px_img10465.png,life_saving_appliances,32-64,0.72,38,10465
87,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\life_saving_appliances\32-64\001_conf0.30_size36px_img2885.png,life_saving_appliances,32-64,0.30,36,2885
88,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\000_conf0.64_size19px_img619.png,swimmer,16-32,0.64,19,619
89,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\001_conf0.64_size29px_img8116.png,swimmer,16-32,0.64,29,8116
90,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\002_conf0.57_size24px_img6042.png,swimmer,16-32,0.57,24,6042
91,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\003_conf0.56_size29px_img9246.png,swimmer,16-32,0.56,29,9246
92,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\004_conf0.54_size22px_img6050.png,swimmer,16-32,0.54,22,6050
93,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\005_conf0.53_size21px_img6045.png,swimmer,16-32,0.53,21,6045
94,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\006_conf0.52_size32px_img8116.png,swimmer,16-32,0.52,32,8116
95,fp_background_sheet03.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\007_conf0.50_size21px_img6039.png,swimmer,16-32,0.50,21,6039
96,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\008_conf0.50_size24px_img6043.png,swimmer,16-32,0.50,24,6043
97,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\009_conf0.50_size20px_img6040.png,swimmer,16-32,0.50,20,6040
98,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\010_conf0.50_size22px_img6048.png,swimmer,16-32,0.50,22,6048
99,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\011_conf0.49_size20px_img15380.png,swimmer,16-32,0.49,20,15380
100,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\012_conf0.49_size21px_img6041.png,swimmer,16-32,0.49,21,6041
101,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\013_conf0.47_size27px_img8116.png,swimmer,16-32,0.47,27,8116
102,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\014_conf0.46_size22px_img6049.png,swimmer,16-32,0.46,22,6049
103,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\015_conf0.45_size30px_img8618.png,swimmer,16-32,0.45,30,8618
104,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\016_conf0.45_size25px_img8116.png,swimmer,16-32,0.45,25,8116
105,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\017_conf0.44_size30px_img9243.png,swimmer,16-32,0.44,30,9243
106,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\018_conf0.44_size29px_img9245.png,swimmer,16-32,0.44,29,9245
107,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\019_conf0.44_size22px_img6051.png,swimmer,16-32,0.44,22,6051
108,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\020_conf0.44_size28px_img1975.png,swimmer,16-32,0.44,28,1975
109,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\021_conf0.43_size23px_img6056.png,swimmer,16-32,0.43,23,6056
110,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\022_conf0.43_size21px_img6047.png,swimmer,16-32,0.43,21,6047
111,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\023_conf0.43_size24px_img6052.png,swimmer,16-32,0.43,24,6052
112,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\024_conf0.43_size21px_img15375.png,swimmer,16-32,0.43,21,15375
113,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\025_conf0.42_size18px_img14057.png,swimmer,16-32,0.42,18,14057
114,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\026_conf0.41_size20px_img6054.png,swimmer,16-32,0.41,20,6054
115,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\027_conf0.41_size22px_img6044.png,swimmer,16-32,0.41,22,6044
116,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\028_conf0.40_size31px_img8643.png,swimmer,16-32,0.40,31,8643
117,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\029_conf0.40_size30px_img8639.png,swimmer,16-32,0.40,30,8639
118,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\030_conf0.40_size29px_img4897.png,swimmer,16-32,0.40,29,4897
119,fp_background_sheet04.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\031_conf0.39_size30px_img2378.png,swimmer,16-32,0.39,30,2378
120,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\032_conf0.39_size21px_img6046.png,swimmer,16-32,0.39,21,6046
121,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\033_conf0.38_size22px_img6058.png,swimmer,16-32,0.38,22,6058
122,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\034_conf0.38_size25px_img16200.png,swimmer,16-32,0.38,25,16200
123,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\035_conf0.37_size31px_img9250.png,swimmer,16-32,0.37,31,9250
124,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\036_conf0.37_size29px_img1036.png,swimmer,16-32,0.37,29,1036
125,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\037_conf0.36_size29px_img1959.png,swimmer,16-32,0.36,29,1959
126,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\038_conf0.36_size30px_img1157.png,swimmer,16-32,0.36,30,1157
127,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\039_conf0.36_size29px_img8116.png,swimmer,16-32,0.36,29,8116
128,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\040_conf0.36_size28px_img2185.png,swimmer,16-32,0.36,28,2185
129,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\041_conf0.35_size29px_img2488.png,swimmer,16-32,0.35,29,2488
130,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\042_conf0.34_size22px_img6053.png,swimmer,16-32,0.34,22,6053
131,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\043_conf0.34_size20px_img14056.png,swimmer,16-32,0.34,20,14056
132,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\044_conf0.34_size30px_img1880.png,swimmer,16-32,0.34,30,1880
133,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\045_conf0.33_size26px_img7747.png,swimmer,16-32,0.33,26,7747
134,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\046_conf0.32_size25px_img8645.png,swimmer,16-32,0.32,25,8645
135,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\047_conf0.31_size28px_img13938.png,swimmer,16-32,0.31,28,13938
136,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\048_conf0.31_size30px_img8641.png,swimmer,16-32,0.31,30,8641
137,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\049_conf0.30_size31px_img9259.png,swimmer,16-32,0.30,31,9259
138,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\050_conf0.30_size25px_img6055.png,swimmer,16-32,0.30,25,6055
139,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\051_conf0.30_size28px_img4907.png,swimmer,16-32,0.30,28,4907
140,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\052_conf0.29_size27px_img6057.png,swimmer,16-32,0.29,27,6057
141,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\053_conf0.28_size20px_img14055.png,swimmer,16-32,0.28,20,14055
142,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\054_conf0.28_size23px_img267.png,swimmer,16-32,0.28,23,267
143,fp_background_sheet05.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\055_conf0.27_size25px_img8621.png,swimmer,16-32,0.27,25,8621
144,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\056_conf0.26_size30px_img12020.png,swimmer,16-32,0.26,30,12020
145,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\057_conf0.26_size32px_img8116.png,swimmer,16-32,0.26,32,8116
146,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\058_conf0.26_size27px_img9246.png,swimmer,16-32,0.26,27,9246
147,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\16-32\059_conf0.26_size31px_img8642.png,swimmer,16-32,0.26,31,8642
148,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\32-64\000_conf0.71_size62px_img9272.png,swimmer,32-64,0.71,62,9272
149,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\32-64\001_conf0.69_size49px_img10419.png,swimmer,32-64,0.69,49,10419
150,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\32-64\002_conf0.68_size38px_img8654.png,swimmer,32-64,0.68,38,8654
151,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\32-64\003_conf0.67_size63px_img10416.png,swimmer,32-64,0.67,63,10416
152,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\32-64\004_conf0.67_size52px_img15365.png,swimmer,32-64,0.67,52,15365
153,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\32-64\005_conf0.67_size47px_img5577.png,swimmer,32-64,0.67,47,5577
154,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\32-64\006_conf0.66_size43px_img8116.png,swimmer,32-64,0.66,43,8116
155,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\32-64\007_conf0.66_size58px_img10465.png,swimmer,32-64,0.66,58,10465
156,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\32-64\008_conf0.65_size34px_img382.png,swimmer,32-64,0.65,34,382
157,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\32-64\009_conf0.64_size45px_img10435.png,swimmer,32-64,0.64,45,10435
158,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\32-64\010_conf0.63_size38px_img6072.png,swimmer,32-64,0.63,38,6072
159,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\32-64\011_conf0.63_size35px_img10465.png,swimmer,32-64,0.63,35,10465
160,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\32-64\012_conf0.62_size47px_img10419.png,swimmer,32-64,0.62,47,10419
161,fp_background_sheet06.png,outputs\error_analysis\baseline_a_pilot\crops\fp_background\swimmer\32-64\013_conf0.62_size39px_img8116.png,swimmer,32-64,0.62,39,8116
